F.A WA,F.A unit weight,WA average coarse,Average Unit weight coarse ,Cement,Fine Aggregate,Coarse Aggregate,Water,Slump,Strength 7days,Strength 28days,Size in mm,Cubical = 0/Cylindrical=1,w/c
1.14,1751,1.04,1386,250,795,1025,153,15,1404,1938,18,1,0.612
1.12,1764,1.02,1384.5,250,795,1025,153,10,1432,1991,18,1,0.612
1.15,1743,1.06,1354,250,810,1035,155,15,1461.6,2024.2,18,1,0.62
1.14,1739,0.99,1386.5,265,810,990,175,10,1523.95,2086.55,19,1,0.660377358
1.16,1778,1.07,1365,260,785,1030,162,15,1509.45,2135.85,18,1,0.623076923
1.18,1722,1.05,1367.5,270,820,985,176,10,1564.55,2148.9,18,1,0.651851852
1.18,1722,1.05,1367.5,270,820,985,176,10,1564.55,2148.9,19,1,0.651851852
1.18,1722,1.05,1367.5,270,820,985,176,10,1564.55,2148.9,19,1,0.651851852
1.18,1722,1.05,1367.5,270,820,985,176,10,1564.55,2148.9,19,1,0.651851852
1.18,1722,1.015,1367.5,270,820,985,176,10,1564.55,2148.9,19,1,0.651851852
1.18,1722,1.05,1367.5,270,820,985,176,10,1564.55,2148.9,19,1,0.651851852
1.19,1748,1.085,1370.5,265,825,990,173,10,1641.4,2164.85,19,1,0.652830189
1.19,1748,1.085,1370.5,265,825,990,173,10,1641.4,2164.85,19,1,0.652830189
1.19,1748,1.085,1370.5,265,825,990,173,10,1641.4,2164.85,19,1,0.652830189
1.19,1706,1.105,1355,275,820,980,182,15,1587.75,2182.25,18.75,1,0.661818182
1.19,1706,1.105,1355,275,820,980,182,15,1587.75,2183.7,18.75,1,0.661818182
1.27,1695,1.105,1355,270,810,980,181,10,1628.35,2230.1,18.75,1,0.67037037
1.27,1695,1.105,1355,270,810,980,181,10,1628.35,2230.1,18.75,1,0.67037037
1.18,1713,1.04,1365,260,815,1010,162,10,1645.75,2248.95,18,1,0.623076923
1.18,1713,1.04,1365,260,815,1010,162,10,1645.75,2248.95,18,1,0.623076923
1.14,1751,1.04,1386,275,795,1025,171,20,1711,2287,18,1,0.621818182
1.12,1764,1.02,1384.5,275,795,1025,171,20,1697,2324,18,1,0.621818182
1.15,1743,1.06,1354,280,810,1035,174,25,1845.85,2491.1,18,1,0.621428571
1.16,1778,1.07,1365,290,785,1030,180,20,1792.2,2492.55,18,1,0.620689655
1.18,1713,1.04,1365,275,815,1010,176,30,1861.8,2556.35,18,1,0.64
1.18,1713,1.04,1365,275,815,1010,176,30,1861.8,2556.35,18,1,0.64
1.27,1695,1.105,1355,290,810,980,195,15,1890.8,2590.136986,18,1,0.672413793
1.14,1739,0.99,1386.5,285,810,990,192,15,1880.65,2598.4,19,1,0.673684211
1.14,1739,0.99,1386.5,285,810,990,192,15,1880.65,2598.4,19,1,0.673684211
1.27,1695,1.105,1355,290,810,980,195,15,1890.8,2605.65,18.75,1,0.672413793
1.27,1695,1.105,1355,290,810,980,195,15,1890.8,2605.65,18.75,1,0.672413793
1.19,1706,1.105,1355,295,820,980,195,20,1938.65,2628.85,18.75,1,0.661016949
1.19,1706,1.105,1355,295,820,980,195,20,1938.65,2628.85,18.75,1,0.661016949
1.18,1722,1.05,1367.5,290,820,985,192,20,1929.95,2633.2,18,1,0.662068966
1.18,1722,1.05,1367.5,290,820,985,192,20,1929.95,2633.2,19,1,0.662068966
1.18,1722,1.05,1367.5,290,820,985,192,20,1929.95,2633.2,19,1,0.662068966
1.18,1722,1.05,1367.5,290,820,985,192,20,1929.95,2633.2,19,1,0.662068966
1.18,1722,1.015,1367.5,290,820,985,192,20,1929.95,2633.2,19,1,0.662068966
1.29,1746,1.08,1352,290,825,960,189,25,1924.15,2635.821918,18,1,0.651724138
1.19,1748,1.085,1370.5,285,825,990,189,25,2037.25,2676.7,19,1,0.663157895
1.19,1748,1.085,1370.5,285,825,990,189,25,2037.25,2676.7,19,1,0.663157895
1.19,1748,1.085,1370.5,285,825,990,189,25,2037.25,2676.7,19,1,0.663157895
1.23,1739,1.12,1357,350,710,1060,196,40,2183,2948,18,1,0.56
1.23,1739,1.12,1357,350,710,1060,196,40,2183,2948,18,1,0.56
1.23,1739,1.12,1357,350,710,1060,196,40,2183,2948,18,1,0.56
1.19,1732,1.07,1369,350,710,1065,196,35,2192.4,2953.65,18,1,0.56
1.17,1736,1.08,1371,350,720,1065,196,45,2185.15,2955.1,18,1,0.56
1.12,1764,1.02,1384.5,340,675,1100,181,40,2118,2967,18,1,0.532352941
1.15,1743,1.06,1354,340,705,1090,184,50,2072.05,2978.3,18,1,0.541176471
1.23,1739,1.11,1358,355,720,1065,196,30,2179,2986,18,1,0.552112676
1.21,1722,1.1,1378,350,705,1070,193,35,2173,2987,18,1,0.551428571
1.21,1722,1.1,1378,350,705,1070,193,35,2173,2987,18,1,0.551428571
1.17,1742,1.06,1369,355,715,1060,196,40,2211,2987,18,1,0.552112676
1.14,1757,1.02,1382,350,685,1110,175,30,2205,2989,18,1,0.5
1.22,1751,1.09,1368,355,715,1050,196,40,2173,2991,18,1,0.552112676
1.22,1751,1.09,1368,355,715,1050,196,40,2173,2991,18,1,0.552112676
1.14,1751,1.04,1386,345,680,1100,183,50,2172,2993,18,1,0.530434783
1.22,1736,1.09,1358,355,715,1055,192,30,2216,2994,18,1,0.54084507
1.24,1737,1.09,1373,355,720,1055,196,35,2222.85,3002.95,18,1,0.552112676
1.24,1737,1.09,1373,355,720,1055,196,35,2222.85,3002.95,18,1,0.552112676
1.24,1737,1.09,1373,355,720,1055,196,35,2222.85,3002.95,18,1,0.552112676
1.23,1739,1.11,1358,360,715,1070,198,30,2231,3012,18,1,0.55
1.16,1778,1.07,1365,350,690,1090,190,40,2176.45,3017.45,18,1,0.542857143
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.19,1748,1.085,1370.5,365,715,1060,202,40,2224.3,3026.15,19,1,0.553424658
1.29,1748,1.14,1352,355,725,1075,196,25,2231.55,3026.15,18,1,0.552112676
1.12,1764,1.02,1384.5,365,675,1100,202,60,2524,3498,18,1,0.553424658
1.15,1746,1.09,1352,340,680,1055,208,55,2656,3514,18,1,0.611764706
1.15,1746,1.09,1352,340,680,1055,208,55,2656,3514,18,1,0.611764706
1.16,1733,1.03,1372,330,660,1045,198,50,2634,3519,18,1,0.6
1.16,1733,1.03,1372,330,660,1045,198,50,2634,3519,18,1,0.6
1.29,1756,1.12,1368,410,665,1080,201,50,2608,3529,18,1,0.490243902
